,worker,DocID,SentID,Sys,Src,Ref,Hyp,Adequacy,Fluency,Z_adequacy,Z_fluency
26,8739,3,12,Sys_P,"We are very sorry this occurred, and we have contacted the family to discuss the situation with them,"" the health insurer said.","이번 일이 발생해 매우 죄송스럽게 생각하며, 이번 상황에 대해 논의하기 위해 해당 가족과 연락을 마쳤다.""라고 이들은 전했다.","이 일이 발생하여 매우 유감이며 가족과 연락하여 상황을 논의했습니다. ""라고 건강 보험사는 말했습니다.",85,81,1.4538507313058884,0.9000599381136759
53,9309,3,12,Sys_A,"We are very sorry this occurred, and we have contacted the family to discuss the situation with them,"" the health insurer said.","이번 일이 발생해 매우 죄송스럽게 생각하며, 이번 상황에 대해 논의하기 위해 해당 가족과 연락을 마쳤다.""라고 이들은 전했다.","""이런 일이 일어난 것에 대해 매우 유감스럽게 생각하며, 우리는 가족들과 이 상황에 대해 논의하기 위해 연락을 취했습니다,""라고 건강보험 회사는 말했다.",76,97,0.7746030417130331,0.8038044851258852
2,8736,3,12,Sys_Q,"We are very sorry this occurred, and we have contacted the family to discuss the situation with them,"" the health insurer said.","이번 일이 발생해 매우 죄송스럽게 생각하며, 이번 상황에 대해 논의하기 위해 해당 가족과 연락을 마쳤다.""라고 이들은 전했다.","우리는 이 일이 일어난 것을 매우 유감스럽게 생각하며, 우리는 그들과 상황을 논의하기 위해 가족에게 연락했습니다""라고 건강 보험 회사는 말했습니다.",94,85,0.9923895651308134,-0.0005763075727966698
31,8750,3,13,Sys_B,Lay said the letters all have a message at the bottom urging people to go paperless.,"스테파니 레이는 모든 편지의 하단에 사람들에게 전자문서의 사용을 격려하는 메시지가 적혀 있었다며,",레이는 이 편지들이 모두 바닥에 종이 없이 가라고 촉구하는 메시지를 가지고 있다고 말했다.,0,0,-2.191306631759673,-2.077316565263426
54,9309,3,13,Sys_A,Lay said the letters all have a message at the bottom urging people to go paperless.,"스테파니 레이는 모든 편지의 하단에 사람들에게 전자문서의 사용을 격려하는 메시지가 적혀 있었다며,",레이는 그 편지들이 모두 맨 아래에 사람들에게 종이 없이 쓰라고 촉구하는 메시지를 담고 있다고 말했다.,75,62,0.7265203986501142,-0.6205549405215349
1,8736,3,13,Sys_Q,Lay said the letters all have a message at the bottom urging people to go paperless.,"스테파니 레이는 모든 편지의 하단에 사람들에게 전자문서의 사용을 격려하는 메시지가 적혀 있었다며,",레이는 편지가 모두 바닥에 종이없는 갈 것을 촉구하는 메시지를 가지고 있다고 말했다.,54,49,-1.2064152399443415,-2.338079822837861
25,8739,3,13,Sys_P,Lay said the letters all have a message at the bottom urging people to go paperless.,"스테파니 레이는 모든 편지의 하단에 사람들에게 전자문서의 사용을 격려하는 메시지가 적혀 있었다며,",Lay는 모든 편지에 종이를 쓰지 않도록 사람들을 촉구하는 메시지가 맨 아래에 있다고 말했다.,51,43,-0.30239977143901803,-0.5021653373826215
0,8736,3,14,Sys_Q,"“I'm thinking they had to take down half of a forest just to send this,"" she said.","“그들은 이 메시지를 전달하겠다고 숲의 절반은 베어냈을 것 같다""고 말했다.","""나는 그들이 이것을 보내기 위해 숲의 절반을 내려야했다고 생각한다""고 그녀는 말했다.",50,49,-1.4262957204518572,-2.338079822837861
24,8739,3,14,Sys_P,"“I'm thinking they had to take down half of a forest just to send this,"" she said.","“그들은 이 메시지를 전달하겠다고 숲의 절반은 베어냈을 것 같다""고 말했다.",“이걸 보내기 위해 숲의 절반을 허물어 야한다고 생각 해요.”그녀가 말했다.,28,13,-1.490451582119396,-1.6091852917218037
41,8750,3,14,Sys_B,"“I'm thinking they had to take down half of a forest just to send this,"" she said.","“그들은 이 메시지를 전달하겠다고 숲의 절반은 베어냈을 것 같다""고 말했다.","""나는 그들이 단지 이것을 보내기 위해 숲의 절반을 무너뜨려야 했다고 생각하고 있습니다,""라고 그녀는 말했다.",10,10,-1.8457580633736157,-1.7307973259915543
55,9309,3,14,Sys_A,"“I'm thinking they had to take down half of a forest just to send this,"" she said.","“그들은 이 메시지를 전달하겠다고 숲의 절반은 베어냈을 것 같다""고 말했다.","""저는 그들이 단지 이것을 보내기 위해 숲의 절반을 파괴해야 했다고 생각해요,""라고 그녀는 말했어요.",62,74,0.10144603883216986,-0.13220313744241946
