,worker,DocID,SentID,Sys,Src,Ref,Hyp,Adequacy,Fluency,Z_adequacy,Z_fluency
14,8732,1,4,Sys_P,"To get front pages, he would reportedly don surgical masks and put tape on his nose to spark conversation.","전하는 바에 의하면, 그는 신문 1면에 실리기 위해 수술용 마스크를 쓰고 코에 테이프를 붙여 화젯거리가 되고자 했다.",첫 페이지를 얻기 위해 그는 수술 용 마스크를 쓰고 대화를 촉발시키기 위해 코에 테이프를 붙인 것으로 알려졌다.,97,97,1.1271561252973714,1.2377024242393992
24,8734,1,4,Sys_A,"To get front pages, he would reportedly don surgical masks and put tape on his nose to spark conversation.","전하는 바에 의하면, 그는 신문 1면에 실리기 위해 수술용 마스크를 쓰고 코에 테이프를 붙여 화젯거리가 되고자 했다.",1면을 장식하기 위해 수술용 마스크를 쓰고 코에 테이프를 붙여 대화를 시작했다고 한다.,81,81,-0.03688195970444996,0.1532734527545699
56,8741,1,4,Sys_B,"To get front pages, he would reportedly don surgical masks and put tape on his nose to spark conversation.","전하는 바에 의하면, 그는 신문 1면에 실리기 위해 수술용 마스크를 쓰고 코에 테이프를 붙여 화젯거리가 되고자 했다.",1면을 받기 위해 수술용 마스크를 쓰고 코에 테이프를 붙여 대화를 촉발시켰다고 한다.,69,76,0.2933668657899821,0.4198347703304514
36,8734,1,4,Sys_Q,"To get front pages, he would reportedly don surgical masks and put tape on his nose to spark conversation.","전하는 바에 의하면, 그는 신문 1면에 실리기 위해 수술용 마스크를 쓰고 코에 테이프를 붙여 화젯거리가 되고자 했다.",첫 페이지를 얻으려면 외과 용 마스크를 쓰고 코를 테이프로 넣어 대화를 촉발할 것으로 알려졌습니다.,25,24,-2.063666287388228,-1.8867746155985103
13,8732,1,5,Sys_P,We'll tell you what's true.,우리는 사실만 말하겠다.,무엇이 사실인지 알려 드리겠습니다.,98,97,1.149196024667413,1.2377024242393992
38,8734,1,5,Sys_Q,We'll tell you what's true.,우리는 사실만 말하겠다.,우리는 당신에게 사실인지 말할 것이다.,74,49,-0.2902300006649222,-0.9920166908822472
23,8734,1,5,Sys_A,We'll tell you what's true.,우리는 사실만 말하겠다.,무엇이 진실인지 말해줄게.,100,100,0.6507770086168319,0.8332894755389301
12,8732,1,6,Sys_P,You can form your own view.,판단은 여러분의 몫이다.,자신 만의 견해를 형성 할 수 있습니다.,0,0,-1.0107141135966882,-0.9608668973612526
22,8734,1,6,Sys_A,You can form your own view.,판단은 여러분의 몫이다.,자신만의 견해를 형성할 수 있습니다.,100,95,0.6507770086168319,0.6543378905956774
62,8741,1,6,Sys_B,You can form your own view.,판단은 여러분의 몫이다.,당신은 당신만의 관점을 형성할 수 있다.,34,72,-1.2985463594269742,0.224741877972675
39,8734,1,6,Sys_Q,You can form your own view.,판단은 여러분의 몫이다.,사용자 고유의 뷰를 형성할 수 있습니다.,49,25,-1.1950444326666088,-1.8509842986098601
40,8734,1,7,Sys_Q,"""He knew how to manipulate the media.","""그는 미디어를 이용할 줄 아는 사람이었다.","""그는 언론을 조작하는 방법을 알고 있었다.",95,94,0.4698141222164945,0.6185475736070268
11,8732,1,7,Sys_P,"""He knew how to manipulate the media.","""그는 미디어를 이용할 줄 아는 사람이었다.","""그는 미디어를 조작하는 방법을 알고있었습니다.",98,99,1.149196024667413,1.2830337504579694
61,8741,1,7,Sys_B,"""He knew how to manipulate the media.","""그는 미디어를 이용할 줄 아는 사람이었다.","""그는 언론을 조종하는 법을 알고 있었다.",92,97,1.3394812709325532,1.4440724552087776
21,8734,1,7,Sys_A,"""He knew how to manipulate the media.","""그는 미디어를 이용할 줄 아는 사람이었다.",그는 언론을 조종하는 법을 알고 있었다.,100,96,0.6507770086168319,0.6901282075843279
20,8734,1,8,Sys_A,"He knew exactly how to get the front page,"" Fiddes, who was Jackson's bodyguard for 10 years, said.",그는 1면에 실리기 위해 정확히 무엇을 해야 하는지 잘 알고 있었다.”라고 10년간 마이클 잭슨의 경호원이었던 피데스가 말했다.,"그는 1면을 장식하는 방법을 정확히 알고 있었습니다,""라고 잭슨의 10년 동안 경호원이었던 피데스는 말했다.",100,100,0.6507770086168319,0.8332894755389301
10,8732,1,8,Sys_P,"He knew exactly how to get the front page,"" Fiddes, who was Jackson's bodyguard for 10 years, said.",그는 1면에 실리기 위해 정확히 무엇을 해야 하는지 잘 알고 있었다.”라고 10년간 마이클 잭슨의 경호원이었던 피데스가 말했다.,그는 첫 페이지를 얻는 방법을 정확히 알고있었습니다.”라고 10 년 동안 Jackson의 보디 가드였던 Fiddes는 말했습니다.,89,80,0.9508369303370364,0.8523861513815529
60,8741,1,8,Sys_B,"He knew exactly how to get the front page,"" Fiddes, who was Jackson's bodyguard for 10 years, said.",그는 1면에 실리기 위해 정확히 무엇을 해야 하는지 잘 알고 있었다.”라고 10년간 마이클 잭슨의 경호원이었던 피데스가 말했다.,"그는 1면을 얻는 방법을 정확히 알고 있었다.""라고 10년 동안 잭슨의 경호원이었던 피데스가 말했다.",87,93,1.1120650959015594,1.2489795628510012
41,8734,1,8,Sys_Q,"He knew exactly how to get the front page,"" Fiddes, who was Jackson's bodyguard for 10 years, said.",그는 1면에 실리기 위해 정확히 무엇을 해야 하는지 잘 알고 있었다.”라고 10년간 마이클 잭슨의 경호원이었던 피데스가 말했다.,"그는 첫 페이지를 얻는 방법을 정확히 알고 있었다,"" 피데스, 누가 10 년 동안 잭슨의 보디 가드, 말했다.",49,45,-1.1950444326666088,-1.1351779588368494
59,8741,1,9,Sys_B,"""90 per cent of the time it worked, by putting a mask on his face, or sticky tape on his hands — or tape on his nose was a favourite one.",“마스크를 쓰거나 손에 테이프를 붙이는 등의 행동이 열에 아홉은 통했다. 그는 코에 테이프를 붙이는 것을 제일 좋아했다.,"""그의 얼굴에 마스크를 씌우거나 손에 끈적끈적한 테이프를 붙이거나 코에 테이프를 붙이는 것이 가장 좋아하는 시간의 90%가 효과가 있었다.",48,33,-0.6617810693401917,-1.6774138225156452
19,8734,1,9,Sys_A,"""90 per cent of the time it worked, by putting a mask on his face, or sticky tape on his hands — or tape on his nose was a favourite one.",“마스크를 쓰거나 손에 테이프를 붙이는 등의 행동이 열에 아홉은 통했다. 그는 코에 테이프를 붙이는 것을 제일 좋아했다.,"""90%는 얼굴에 마스크를 쓰거나 손에 테이프를 붙이거나 코에 테이프를 붙여서 효과가 있었습니다.",88,80,0.2164660812560223,0.11748313576591934
9,8732,1,9,Sys_P,"""90 per cent of the time it worked, by putting a mask on his face, or sticky tape on his hands — or tape on his nose was a favourite one.",“마스크를 쓰거나 손에 테이프를 붙이는 등의 행동이 열에 아홉은 통했다. 그는 코에 테이프를 붙이는 것을 제일 좋아했다.,"""얼굴에 마스크를 씌우거나 손에 끈적 끈적한 테이프를 붙이거나 코에 테이프를 붙이는 것이 효과가있는 시간의 90 %가 가장 좋아하는 것입니다.",0,0,-1.0107141135966882,-0.9608668973612526
43,8734,1,9,Sys_Q,"""90 per cent of the time it worked, by putting a mask on his face, or sticky tape on his hands — or tape on his nose was a favourite one.",“마스크를 쓰거나 손에 테이프를 붙이는 등의 행동이 열에 아홉은 통했다. 그는 코에 테이프를 붙이는 것을 제일 좋아했다.,"""90퍼센트의 시간, 얼굴에 마스크를 씌우는 것, 또는 손에 끈적끈적한 테이프를 두거나 코에 테이프가 가장 마음에 들렸습니다.",25,12,-2.063666287388228,-2.316258419462317
58,8741,1,10,Sys_B,"He would say he wanted his life to be the greatest mystery on Earth.""",그는 자신의 삶이 지구상의 최대 미스터리가 되었으면 좋겠다고 말하곤 했다.”,"그는 자신의 삶이 지구상에서 가장 큰 미스터리가 되기를 원한다고 말할 것이다.""",77,95,0.657232745839572,1.3465260090298894
8,8732,1,10,Sys_P,"He would say he wanted his life to be the greatest mystery on Earth.""",그는 자신의 삶이 지구상의 최대 미스터리가 되었으면 좋겠다고 말하곤 했다.”,"그는 자신의 삶이 지구상에서 가장 큰 미스터리가되기를 원한다고 말할 것입니다. """,0,0,-1.0107141135966882,-0.9608668973612526
35,8734,1,10,Sys_A,"He would say he wanted his life to be the greatest mystery on Earth.""",그는 자신의 삶이 지구상의 최대 미스터리가 되었으면 좋겠다고 말하곤 했다.”,"그는 자신의 삶이 지구상에서 가장 큰 미스터리가 되기를 원한다고 말할 것입니다.""",96,95,0.5060066994965621,0.6543378905956774
44,8734,1,10,Sys_Q,"He would say he wanted his life to be the greatest mystery on Earth.""",그는 자신의 삶이 지구상의 최대 미스터리가 되었으면 좋겠다고 말하곤 했다.”,"그는 자신의 삶이 지구상에서 가장 큰 수수께끼가 되기를 바란다고 말하곤 했습니다.""",100,96,0.6507770086168319,0.6901282075843279
7,8732,1,11,Sys_P,"He added: ""It's backfired on him now, though, that's the sad thing.""","""이제는 그게 오히려 그에게 독이 되고 있다. 그게 참 안타까운 일이다.""라고 그는 덧붙였다.","그는 덧붙였다 : ""지금은 그에게 역효과를 냈지만, 그것은 슬픈 일입니다.""",0,0,-1.0107141135966882,-0.9608668973612526
34,8734,1,11,Sys_A,"He added: ""It's backfired on him now, though, that's the sad thing.""","""이제는 그게 오히려 그에게 독이 되고 있다. 그게 참 안타까운 일이다.""라고 그는 덧붙였다.","그는 덧붙였다: ""하지만, 그것은 이제 그에게 역효과를 가져왔다. 그것은 슬픈 일이다.""",100,100,0.6507770086168319,0.8332894755389301
57,8741,1,11,Sys_B,"He added: ""It's backfired on him now, though, that's the sad thing.""","""이제는 그게 오히려 그에게 독이 되고 있다. 그게 참 안타까운 일이다.""라고 그는 덧붙였다.","그는 덧붙였다. ""하지만 그것은 지금 그에게 역효과를 낳고 있다. 그것은 슬픈 일이다.""",88,90,1.157548330907758,1.1026598935826688
49,8734,1,11,Sys_Q,"He added: ""It's backfired on him now, though, that's the sad thing.""","""이제는 그게 오히려 그에게 독이 되고 있다. 그게 참 안타까운 일이다.""라고 그는 덧붙였다.","그는 덧붙였다: ""그것은 지금 그에게 역효과, 그래도, 그건 슬픈 일이다.""",88,75,0.2164660812560223,-0.0614684491773333
63,8741,1,12,Sys_B,"Fiddes also addressed allegations of child sexual abuse against Jackson by Wade Robson and James Safechuck, which were aired in the controversial, Emmy Award-winning documentary Leaving Neverland.",피데스는 또한 웨이드 롭슨과 제임스 세이프척이 잭슨을 상대로 제기한 성추행 의혹에 대해서도 언급했다. 이 사건은 에미상을 수상한 다큐멘터리 리빙 네버랜드에서 방영되어 논란을 불러일으킨 바 있다.,피데스는 또한 논란이 되고 있는 에미상 수상 다큐멘터리 '네버랜드를 떠나는 것'에서 방영된 웨이드 롭슨과 제임스 세이프척의 잭슨에 대한 아동 성학대 의혹에 대해서도 언급했다.,82,73,0.8846489208705657,0.2735151010621191
6,8732,1,12,Sys_P,"Fiddes also addressed allegations of child sexual abuse against Jackson by Wade Robson and James Safechuck, which were aired in the controversial, Emmy Award-winning documentary Leaving Neverland.",피데스는 또한 웨이드 롭슨과 제임스 세이프척이 잭슨을 상대로 제기한 성추행 의혹에 대해서도 언급했다. 이 사건은 에미상을 수상한 다큐멘터리 리빙 네버랜드에서 방영되어 논란을 불러일으킨 바 있다.,Fiddes는 또한 논란이되고있는 에미 상을 수상한 다큐멘터리 Leaving Neverland에서 방영 된 Wade Robson과 James Safechuck의 잭슨에 대한 아동 성폭력 혐의에 대해서도 언급했습니다.,94,94,1.061036427187246,1.169705434911544
33,8734,1,12,Sys_A,"Fiddes also addressed allegations of child sexual abuse against Jackson by Wade Robson and James Safechuck, which were aired in the controversial, Emmy Award-winning documentary Leaving Neverland.",피데스는 또한 웨이드 롭슨과 제임스 세이프척이 잭슨을 상대로 제기한 성추행 의혹에 대해서도 언급했다. 이 사건은 에미상을 수상한 다큐멘터리 리빙 네버랜드에서 방영되어 논란을 불러일으킨 바 있다.,"피데스는 또한 논란이 된 에미상 다큐멘터리 ""네버랜드를 떠난다""에서 방영된 웨이드 롭슨과 제임스 세이프척에 의한 잭슨에 대한 아동 성학대 혐의에 대해서도 언급했다.",95,87,0.4698141222164945,0.3680153546864731
48,8734,1,12,Sys_Q,"Fiddes also addressed allegations of child sexual abuse against Jackson by Wade Robson and James Safechuck, which were aired in the controversial, Emmy Award-winning documentary Leaving Neverland.",피데스는 또한 웨이드 롭슨과 제임스 세이프척이 잭슨을 상대로 제기한 성추행 의혹에 대해서도 언급했다. 이 사건은 에미상을 수상한 다큐멘터리 리빙 네버랜드에서 방영되어 논란을 불러일으킨 바 있다.,피데스는 또한 논란의 여지가 있는 에미 상을 수상한 다큐멘터리 《네버랜드를 떠나'에서 방영된 웨이드 롭슨과 제임스 세이프척에 의한 잭슨에 대한 아동 성학대 혐의에 대해서도 언급했다.,92,74,0.3612363903762921,-0.09725876616598383
32,8734,1,13,Sys_A,Both Robson and Safechuck allege that they were abused by Jackson as children for a number of years.,롭슨과 세이프척은 자신들이 어린 시절에 잭슨에게 수년간 성추행을 당했었다고 주장한다.,Robson과 Safechuck 둘 다 수년 동안 어린 시절 Jackson에 의해 학대를 당했다고 주장한다.,100,96,0.6507770086168319,0.6901282075843279
54,8741,1,13,Sys_B,Both Robson and Safechuck allege that they were abused by Jackson as children for a number of years.,롭슨과 세이프척은 자신들이 어린 시절에 잭슨에게 수년간 성추행을 당했었다고 주장한다.,롭슨과 세이프척은 모두 그들이 잭슨에게 몇 년 동안 어렸을 때 학대를 당했다고 주장한다.,84,72,0.9756153908829632,0.224741877972675
47,8734,1,13,Sys_Q,Both Robson and Safechuck allege that they were abused by Jackson as children for a number of years.,롭슨과 세이프척은 자신들이 어린 시절에 잭슨에게 수년간 성추행을 당했었다고 주장한다.,롭슨과 세이프척은 잭슨에게 수년간 어린 시절 학대를 당했다고 주장한다.,95,95,0.4698141222164945,0.6543378905956774
5,8732,1,13,Sys_P,Both Robson and Safechuck allege that they were abused by Jackson as children for a number of years.,롭슨과 세이프척은 자신들이 어린 시절에 잭슨에게 수년간 성추행을 당했었다고 주장한다.,롭슨과 세이프 척은 둘 다 잭슨이 어렸을 때 수년간 학대를 당했다고 주장합니다.,99,98,1.171235924037455,1.2603680873486842
31,8734,1,14,Sys_A,"Fiddes claimed that ""this whole paedophile thing is complete nonsense... the guy had girlfriends and had a legitimate marriage to Lisa Marie [Presley], that was the way he lived his life.""","피데스는 ""그가 소아성애자라는 것은 너무 터무니없는 주장이다. 잭슨은 여자친구도 몇 명 있었고 리사 마리 프레슬리와 정식으로 혼인했었다. 그것이 그의 삶의 방식이었다.”라고 밝혔다.","피데스는 ""이 소아성애자 문제는 완전히 말도 안 된다""고 주장했다. 그 남자는 여자친구가 있었고 리사 마리[프레슬리]와 합법적으로 결혼했습니다. 그것이 그의 삶을 살았던 방식입니다.""",100,96,0.6507770086168319,0.6901282075843279
4,8732,1,14,Sys_P,"Fiddes claimed that ""this whole paedophile thing is complete nonsense... the guy had girlfriends and had a legitimate marriage to Lisa Marie [Presley], that was the way he lived his life.""","피데스는 ""그가 소아성애자라는 것은 너무 터무니없는 주장이다. 잭슨은 여자친구도 몇 명 있었고 리사 마리 프레슬리와 정식으로 혼인했었다. 그것이 그의 삶의 방식이었다.”라고 밝혔다.","Fiddes는 ""이 모든 소아 성애는 말도 안되는 일입니다. 그 남자는 여자 친구가 있었고 Lisa Marie [Presley]와 합법적 인 결혼 생활을했습니다. 그것이 그가 그의 삶을 살았던 방식이었습니다.""",0,0,-1.0107141135966882,-0.9608668973612526
46,8734,1,14,Sys_Q,"Fiddes claimed that ""this whole paedophile thing is complete nonsense... the guy had girlfriends and had a legitimate marriage to Lisa Marie [Presley], that was the way he lived his life.""","피데스는 ""그가 소아성애자라는 것은 너무 터무니없는 주장이다. 잭슨은 여자친구도 몇 명 있었고 리사 마리 프레슬리와 정식으로 혼인했었다. 그것이 그의 삶의 방식이었다.”라고 밝혔다.","Fiddes는 ""이 모든 소아성애는 완전한 넌센스입니다... 그 남자는 여자친구를 가지고 있었고 리사 마리[프레슬리]와 합법적인 결혼생활을 했기 때문에, 그가 그의 삶을 살았던 방식이었습니다.""",74,62,-0.2902300006649222,-0.5267425700297902
45,8734,1,15,Sys_Q,"He claimed it would have been ""impossible"" for Jackson to have abused children at his Neverland ranch because he was ""hardly"" there.",그는 잭슨이 네버랜드 목장에서 '거의' 머물지 않았기 때문에 거기에서 아이들을 성추행했다는 것은 '불가능'했을 것이라고 주장했다.,"그는 잭슨이 네버랜드 목장에서 아이들을 학대하는 것은 ""불가능""했을 것이라고 주장했다.",75,75,-0.25403742338485474,-0.0614684491773333
30,8734,1,15,Sys_A,"He claimed it would have been ""impossible"" for Jackson to have abused children at his Neverland ranch because he was ""hardly"" there.",그는 잭슨이 네버랜드 목장에서 '거의' 머물지 않았기 때문에 거기에서 아이들을 성추행했다는 것은 '불가능'했을 것이라고 주장했다.,"그는 잭슨이 네버랜드 목장에서 아이들을 학대하는 것은 불가능했을 것이라고 주장했는데, 그 이유는 잭슨이 네버랜드 목장에서 아이들을 학대하는 것이었기 때문입니다.",49,50,-1.1950444326666088,-0.9562263738935968
3,8732,1,15,Sys_P,"He claimed it would have been ""impossible"" for Jackson to have abused children at his Neverland ranch because he was ""hardly"" there.",그는 잭슨이 네버랜드 목장에서 '거의' 머물지 않았기 때문에 거기에서 아이들을 성추행했다는 것은 '불가능'했을 것이라고 주장했다.,"그는 잭슨이 자신의 네버 랜드 목장에서 아이들을 학대하는 것이 ""불가능할 것""이라고 주장했다.",94,64,1.061036427187246,0.4897355416329919
52,8734,1,16,Sys_Q,"""They say there were boys around, that was not the case at all,"" he said.","""그들은 주변에 다른 아이들도 있었다고 주장하는데, 전혀 그렇지 않았다""고 그는 말했다.","""그들은 주변에 소년이 있었다고 말합니다, 그건 전혀 사실이 아니었다,""그는 말했다.",88,87,0.2164660812560223,0.3680153546864731
29,8734,1,16,Sys_A,"""They say there were boys around, that was not the case at all,"" he said.","""그들은 주변에 다른 아이들도 있었다고 주장하는데, 전혀 그렇지 않았다""고 그는 말했다.","""그들은 주변에 남자 아이들이 있었다고 하지만 전혀 그렇지 않다고 말합니다,""라고 그는 말했다.",62,62,-0.7245409280257318,-0.5267425700297902
2,8732,1,16,Sys_P,"""They say there were boys around, that was not the case at all,"" he said.","""그들은 주변에 다른 아이들도 있었다고 주장하는데, 전혀 그렇지 않았다""고 그는 말했다.","""그들은 주변에 소년이 있다고 말하는데 전혀 그렇지 않다""고 그는 말했다.",96,95,1.1051162259273295,1.192371098020829
51,8734,1,17,Sys_Q,The Jackson estate has denied all allegations against the late star.,마이클 잭슨 재단은 작별한 스타인 마이클 잭슨에 대한 모든 혐의를 부인하고 있다.,잭슨 부동산은 늦은 스타에 대한 모든 혐의를 부인했다.,75,50,-0.25403742338485474,-0.9562263738935968
28,8734,1,17,Sys_A,The Jackson estate has denied all allegations against the late star.,마이클 잭슨 재단은 작별한 스타인 마이클 잭슨에 대한 모든 혐의를 부인하고 있다.,잭슨 재산은 고인이 된 스타에 대한 모든 혐의를 부인했다.,100,100,0.6507770086168319,0.8332894755389301
1,8732,1,17,Sys_P,The Jackson estate has denied all allegations against the late star.,마이클 잭슨 재단은 작별한 스타인 마이클 잭슨에 대한 모든 혐의를 부인하고 있다.,잭슨 사유지는 늦은 스타에 대한 모든 혐의를 부인했습니다.,0,0,-1.0107141135966882,-0.9608668973612526
50,8734,1,18,Sys_Q,Jackson denied all claims against him until his death in 2009.,잭슨은 2009년 사망 전까지도 자신에 대한 모든 혐의를 부인했다.,잭슨은 2009년 사망할 때까지 자신에 대한 모든 주장을 부인했다.,100,96,0.6507770086168319,0.6901282075843279
27,8734,1,18,Sys_A,Jackson denied all claims against him until his death in 2009.,잭슨은 2009년 사망 전까지도 자신에 대한 모든 혐의를 부인했다.,잭슨은 2009년 그가 사망할 때까지 그에 대한 모든 주장을 부인했다.,100,96,0.6507770086168319,0.6901282075843279
0,8732,1,18,Sys_P,Jackson denied all claims against him until his death in 2009.,잭슨은 2009년 사망 전까지도 자신에 대한 모든 혐의를 부인했다.,잭슨은 2009 년 사망 할 때까지 모든 주장을 부인했습니다.,0,0,-1.0107141135966882,-0.9608668973612526
